ITS2 type profile		A1-A1gr-A1gd-A1mm-A1bf	A1/A1gr/A1gd	A1/A1h-A1dl	A1-A1gr-A1mm	A1/A1gd-A1g	A1/A1gd	A1/A1bx-A1bw-A1bf	A1-A1ee-A1mm	C3k/C3-C50a-C3ba-C29-C21ab-C50f-C3dq-C3a	C3k/C3-C50a-C3ba-C50f-C3dq-C21ab-C3a-C3b	C3/C50b-C3bm-C50f-C21-C3b-C3acq	C3bo/C3k/C3-C3bp-C50a-C3jq-C3a-C3dq	C50b/C3-C3bm-C50f-C21-C3b-C21ba	C3k/C3-C3ba-C3a-C50f-C3dq-C50a-C3acr-C50aj	C21/C3a	C3-C3k-C50a-C3.10-C3gj-C3b-C21cf	C21/C1	C1/C42.2	C3k	C50b	C50b/C3-C21	C31	C3k/C1/C3-C1c-C50a-C3dq-C1b-C3ba-C50y	C3k/C3-C50a-C29-C21ab-C3b	C3f/C3ae/C3/C3fl-C50a-C3bj-C3h	C3k-C3-C50a-C29-C21ab-C50f-C3ba-C3dq	C50b-C3-C3bm-C50f-C21-C3b	C42.2/C1-C1b-C42u-C42a-C3-C115k-C115l	D1-D17i-D17s-D1r-D17r
227790	A331-24	0	0	0	0	0	0	0	0	33750.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227780	A321-24	0	0	0	0	0	0	0	0	42340.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227725	A266-24	0	0	0	0	0	0	0	0	44436.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227797	A338-24	0	0	0	0	0	0	0	0	32804.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227683	A223-24	0	0	0	0	0	0	0	0	53644.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227554	A102-24	0	0	0	0	0	0	0	0	68926.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227743	A284-24	0	0	0	0	0	0	0	0	40821.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227732	A273-24	0	0	0	0	0	0	0	0	49672.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227791	A332-24	0	0	0	0	0	0	0	0	56114.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227741	A282-24	0	0	0	0	0	0	0	0	50874.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227594	A138-24	0	0	0	0	0	0	0	0	54891.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227566	A112-24	0	0	0	0	0	0	0	0	63937.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227788	A329-24	0	0	0	0	0	0	0	0	32437.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227789	A330-24	0	0	0	0	0	0	0	0	47975.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227606	A150-24	0	0	0	0	0	0	0	0	74661.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227563	A110-24	0	0	0	0	0	0	0	0	94690.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227512	A064-24	0	0	0	0	0	0	0	0	90346.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227805	A346-24	0	0	0	0	0	0	0	0	51701.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227549	A097-24	0	0	0	0	0	0	0	0	89858.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227781	A322-24	0	0	0	0	0	0	0	0	34287.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227782	A323-24	0	0	0	0	0	0	0	0	53213.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227577	A122-24	0	0	0	0	0	0	0	0	106374.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227569	A115-24	0	0	0	0	0	0	0	0	79166.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227550	A098-24	0	0	0	0	0	0	0	0	62908.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227686	A226-24	0	0	0	0	0	0	0	0	74926.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227730	A271-24	0	0	0	0	0	0	0	0	54812.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227551	A099-24	0	0	0	0	0	0	0	0	44037.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227804	A345-24	0	0	0	0	0	0	0	0	24021.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227514	A065-24	0	0	0	0	0	0	0	0	59991.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227752	A293-24	0	0	0	0	0	0	0	0	41089.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227737	A278-24	0	0	0	0	0	0	0	0	53921.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227798	A339-24	0	0	0	0	0	0	0	0	27514.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227562	A109-24	0	0	0	0	0	0	0	0	69448.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227640	A184-24	0	0	0	0	0	0	0	0	47903.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227733	A274-24	0	0	0	0	0	0	0	0	47149.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227643	A187-24	0	0	0	0	0	0	0	0	30861.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227792	A333-24	0	0	0	0	0	0	0	0	45508.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227745	A286-24	0	0	0	0	0	0	0	0	61633.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227801	A342-24	0	0	0	0	0	0	0	0	40414.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227717	A258-24	0	0	0	0	0	0	0	0	46816.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227783	A324-24	0	0	0	0	0	0	0	0	44747.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227620	A164-24	0	0	0	0	0	0	0	0	48140.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227561	A108-24	0	0	0	0	0	0	0	0	32121.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227511	A063-24	0	0	0	0	0	0	0	0	57543.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
